Original Sort,PARCEL,Neighborhood,Property Type,Full Address,latitude,longitude,Did it sell?,Prediction,Actual,Prediction Result
4731,5085025019,Beverly Grove,Single Famly,"1221 S Stanley Ave, Los Angeles, CA 90019",,,1,,,
5810,5087015007,Beverly Grove,Single Famly,"1234 Alvira St, Los Angeles, CA 90035",34.0536417,-118.3724276,1,0,1,Prediction Incorrect - Sold
5690,5085019009,Beverly Grove,Single Famly,"1181 Carmona Ave, Los Angeles, CA 90019",,,1,,,
3329,5085020006,Beverly Grove,Single Famly,"1168 S Sierra Bonita Ave, Los Angeles, CA 90019",34.0539135,-118.3572703,1,0,1,Prediction Incorrect - Sold
5809,5087010005,Beverly Grove,Single Famly,"1227 Alvira St, Los Angeles, CA 90035",,,1,,,
5085,5086027011,Beverly Grove,Single Famly,"1209 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
4171,5085012019,Beverly Grove,Single Famly,"5418 Edgewood Pl, Los Angeles, CA 90019",,,1,,,
6341,5086027013,Beverly Grove,Single Famly,"1203 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
2705,5087017014,Beverly Grove,Single Famly,"1171 Stearns Dr, Los Angeles, CA 90035",,,1,,,
1425,4332027040,Beverly Grove,Condo,"1238 S Holt Ave, Los Angeles, CA 90035",34.0544954,-118.3781464,1,1,1,Prediction Correct - Sold
4268,5087020012,Beverly Grove,Single Famly,"1157 S Point View St, Los Angeles, CA 90035",,,1,,,
4249,5087026026,Beverly Grove,Single Famly,"1144 Hi Point St, Los Angeles, CA 90035",,,1,,,
1576,5085021046,Beverly Grove,Condo,"5764 San Vicente Blvd, Los Angeles, CA 90019",,,1,,,
1587,5085021057,Beverly Grove,Condo,"5764 San Vicente Blvd, Los Angeles, CA 90019",,,1,,,
5786,5085011014,Beverly Grove,Single Famly,"1133 S Cochran Ave, Los Angeles, CA 90019",34.0548399,-118.3503724,1,0,1,Prediction Incorrect - Sold
5580,5085024016,Beverly Grove,Single Famly,"1136 S Spaulding Ave, Los Angeles, CA 90019",,,1,,,
4264,5087020009,Beverly Grove,Single Famly,"1143 S Point View St, Los Angeles, CA 90035",,,1,,,
2249,5085008011,Beverly Grove,Single Famly,"1126 S Ridgeley Dr, Los Angeles, CA 90019",,,1,,,
982,4332019070,Beverly Grove,Condo,"1210 S Shenandoah St, Los Angeles, CA 90035",34.0551912,-118.3813019,1,0,1,Prediction Incorrect - Sold
3387,5087020025,Beverly Grove,Single Famly,"1132 Stearns Dr, Los Angeles, CA 90035",,,1,,,
5719,5087014010,Beverly Grove,Single Famly,"1146 Alvira St, Los Angeles, CA 90035",,,1,,,
2689,5087020007,Beverly Grove,Single Famly,"1133 S Point View St, Los Angeles, CA 90035",34.0553404,-118.3688166,1,0,1,Prediction Incorrect - Sold
7496,5090034018,Hancock Park,Single Famly,"946 S Victoria Ave, Los Angeles, CA 90019",,,1,,,
5937,5087005017,Beverly Grove,Single Famly,"1150 S Alfred St, Los Angeles, CA 90035",,,1,,,
1215,4332028070,Beverly Grove,Condo,"1200 S Corning St, Los Angeles, CA 90035",,,1,,,
1227,4332028082,Beverly Grove,Condo,"1200 S Corning St, Los Angeles, CA 90035",,,1,,,
1232,4332028087,Beverly Grove,Condo,"1200 S Corning St, Los Angeles, CA 90035",,,1,,,
5590,5087011007,Beverly Grove,Single Famly,"1139 Alvira St, Los Angeles, CA 90035",,,1,,,
1413,5086013033,Beverly Grove,Condo,"1076 S Orange Grove Ave, Los Angeles, CA 90019",,,1,,,
1415,5086013035,Beverly Grove,Condo,"1076 S Orange Grove Ave, Los Angeles, CA 90019",,,1,,,
2187,5085011002,Beverly Grove,Single Famly,"1052 S Dunsmuir Ave, Los Angeles, CA 90019",34.0558074,-118.3505167,1,0,1,Prediction Incorrect - Sold
2053,5085009040,Beverly Grove,Single Famly,"1057 S Dunsmuir Ave, Los Angeles, CA 90019",,,1,,,
5717,5087011008,Beverly Grove,Single Famly,"1133 Alvira St, Los Angeles, CA 90035",,,1,,,
5857,5087005009,Beverly Grove,Single Famly,"1141 S Orlando Ave, Los Angeles, CA 90035",,,1,,,
8199,5090024011,Hancock Park,Single Famly,"962 S Plymouth Blvd, Los Angeles, CA 90019",,,1,,,
10182,5092005034,Hancock Park,Single Famly,"887 S Norton Ave, Los Angeles, CA 90005",34.0561758,-118.3198327,1,0,1,Prediction Incorrect - Sold
11908,5090034024,Hancock Park,Single Famly,"916 S Victoria Ave, Los Angeles, CA 90019",,,1,,,
8551,5090024010,Hancock Park,Single Famly,"956 S Plymouth Blvd, Los Angeles, CA 90019",34.0562204,-118.3259901,1,0,1,Prediction Incorrect - Sold
2270,5085002035,Beverly Grove,Single Famly,"1038 S Stanley Ave, Los Angeles, CA 90019",34.0563307,-118.3583165,1,0,1,Prediction Incorrect - Sold
9513,5092002020,Hancock Park,Single Famly,"895 S Bronson Ave, Los Angeles, CA 90005",34.0563321,-118.3211144,1,1,1,Prediction Correct - Sold
3380,5087018016,Beverly Grove,Single Famly,"1081 Stearns Dr, Los Angeles, CA 90035",,,1,,,
12074,5090024018,Hancock Park,Single Famly,"931 S Windsor Blvd, Los Angeles, CA 90019",34.0565231,-118.3252595,1,0,1,Prediction Incorrect - Sold
2641,5085007024,Beverly Grove,Single Famly,"1031 S Ridgeley Dr, Los Angeles, CA 90019",,,1,,,
9022,5090023013,Hancock Park,Single Famly,"943 S Plymouth Blvd, Los Angeles, CA 90019",34.0566527,-118.3263709,1,0,1,Prediction Incorrect - Sold
2185,5085009004,Beverly Grove,Single Famly,"1021 S Dunsmuir Ave, Los Angeles, CA 90019",,,1,,,
2077,5085007022,Beverly Grove,Single Famly,"1021 S Ridgeley Dr, Los Angeles, CA 90019",,,1,,,
3376,5087019024,Beverly Grove,Single Famly,"1066 Stearns Dr, Los Angeles, CA 90035",,,1,,,
824,4332019056,Beverly Grove,Condo,"1110 S Shenandoah St, Los Angeles, CA 90035",34.056753,-118.381153,1,1,1,Prediction Correct - Sold
825,4332019057,Beverly Grove,Condo,"1110 S Shenandoah St, Los Angeles, CA 90035",34.056753,-118.381153,1,0,1,Prediction Incorrect - Sold
2244,5085008036,Beverly Grove,Single Famly,"1014 S Ridgeley Dr, Los Angeles, CA 90019",34.0568054,-118.352427,1,0,1,Prediction Incorrect - Sold
8716,5090034029,Hancock Park,Single Famly,"898 S Victoria Ave, Los Angeles, CA 90005",,,1,,,
6086,5087009025,Beverly Grove,Single Famly,"6506 Whitworth Dr, Los Angeles, CA 90035",34.0568935,-118.3728339,1,0,1,Prediction Incorrect - Sold
8750,5090023005,Hancock Park,Single Famly,"926 S Lucerne Blvd, Los Angeles, CA 90019",,,1,,,
3362,5087019015,Beverly Grove,Single Famly,"1057 S Point View St, Los Angeles, CA 90035",34.0569547,-118.3681397,1,0,1,Prediction Incorrect - Sold
297,4332023046,Beverly Grove,Condo,"1101 S Holt Ave, Los Angeles, CA 90035",,,1,,,
10381,5090024004,Hancock Park,Single Famly,"920 S Plymouth Blvd, Los Angeles, CA 90019",34.0569918,-118.3256248,1,0,1,Prediction Incorrect - Sold
6795,5092005025,Hancock Park,Single Famly,"860 S Bronson Ave, Los Angeles, CA 90005",34.0569976,-118.3200699,1,0,1,Prediction Incorrect - Sold
3348,5087025030,Beverly Grove,Single Famly,"1048 Hi Point St, Los Angeles, CA 90035",,,1,,,
5586,5087013010,Beverly Grove,Single Famly,"1062 Alvira St, Los Angeles, CA 90035",,,1,,,
8376,5090023004,Hancock Park,Single Famly,"920 S Lucerne Blvd, Los Angeles, CA 90019",,,1,,,
1119,5085007044,Beverly Grove,Condo,"5670 W Olympic Blvd, Los Angeles, CA 90036",34.0570729,-118.353375,1,0,1,Prediction Incorrect - Sold
1139,5085007064,Beverly Grove,Condo,"5670 W Olympic Blvd, Los Angeles, CA 90036",,,1,,,
1189,5085009045,Beverly Grove,Condo,"1002 S Burnside Ave, Los Angeles, CA 90019",34.0570826,-118.3510801,1,0,1,Prediction Incorrect - Sold
5740,5087012028,Beverly Grove,Single Famly,"1064 S La Jolla Ave, Los Angeles, CA 90035",34.0570924,-118.3720659,1,1,1,Prediction Correct - Sold
2699,5087019027,Beverly Grove,Single Famly,"1052 Stearns Dr, Los Angeles, CA 90035",,,1,,,
11164,5090024013,Hancock Park,Single Famly,"907 S Windsor Blvd, Los Angeles, CA 90019",,,1,,,
6801,5090023017,Hancock Park,Single Famly,"919 S Plymouth Blvd, Los Angeles, CA 90019",34.0571391,-118.3261157,1,0,1,Prediction Incorrect - Sold
1375,5085002055,Beverly Grove,Condo,"5848 W Olympic Blvd, Los Angeles, CA 90036",34.057183,-118.357889,1,0,1,Prediction Incorrect - Sold
1368,5085002048,Beverly Grove,Condo,"5848 W Olympic Blvd, Los Angeles, CA 90036",,,1,,,
2698,5087019028,Beverly Grove,Single Famly,"1048 Stearns Dr, Los Angeles, CA 90035",,,1,,,
8967,5092005021,Hancock Park,Single Famly,"850 S Bronson Ave, Los Angeles, CA 90005",34.0572287,-118.319933,1,1,1,Prediction Correct - Sold
1332,4332020068,Beverly Grove,Condo,"1064 S Shenandoah St, Los Angeles, CA 90035",34.0572793,-118.3811877,1,0,1,Prediction Incorrect - Sold
1329,4332020065,Beverly Grove,Condo,"1064 S Shenandoah St, Los Angeles, CA 90035",,,1,,,
12173,5092002012,Hancock Park,Single Famly,"857 S Bronson Ave, Los Angeles, CA 90005",,,1,,,
5737,4332025023,Beverly Grove,Single Famly,"1069 S Corning St, Los Angeles, CA 90035",,,1,,,
9479,5090017006,Hancock Park,Single Famly,"83 Fremont Pl, Los Angeles, CA 90005",,,1,,,
1278,4332017039,Beverly Grove,Condo,"1059 S Shenandoah St, Los Angeles, CA 90035",,,1,,,
2697,5087018008,Beverly Grove,Single Famly,"1043 Stearns Dr, Los Angeles, CA 90035",34.0574852,-118.3691778,1,0,1,Prediction Incorrect - Sold
1432,4332021051,Beverly Grove,Condo,"1059 S Sherbourne Dr, Los Angeles, CA 90035",34.057537,-118.3796813,1,0,1,Prediction Incorrect - Sold
1799,5089025040,Beverly Grove,Condo,"5525 W Olympic Blvd, Los Angeles, CA 90036",,,1,,,
4744,4332024025,Beverly Grove,Single Famly,"1059 S Holt Ave, Los Angeles, CA 90035",34.0575831,-118.3785401,1,0,1,Prediction Incorrect - Sold
1812,5089026045,Beverly Grove,Condo,"5601 W Olympic Blvd, Los Angeles, CA 90036",,,1,,,
2683,5087024008,Beverly Grove,Single Famly,"1025 Hi Point St, Los Angeles, CA 90035",34.0577422,-118.3665873,1,0,1,Prediction Incorrect - Sold
2741,5089024003,Beverly Grove,Single Famly,"938 S Cochran Ave, Los Angeles, CA 90036",34.0578341,-118.3486375,1,0,1,Prediction Incorrect - Sold
11893,5092005008,Hancock Park,Single Famly,"821 S Norton Ave, Los Angeles, CA 90005",34.0578522,-118.3190721,1,0,1,Prediction Incorrect - Sold
7357,5092005011,Hancock Park,Single Famly,"826 S Bronson Ave, Los Angeles, CA 90005",,,1,,,
4330,5089025026,Beverly Grove,Single Famly,"939 S Dunsmuir Ave, Los Angeles, CA 90036",,,1,,,
2928,5089012021,Beverly Grove,Single Famly,"936 S Spaulding Ave, Los Angeles, CA 90036",,,1,,,
4329,5089025025,Beverly Grove,Single Famly,"935 S Dunsmuir Ave, Los Angeles, CA 90036",,,1,,,
10275,5090021001,Hancock Park,Single Famly,"72 Fremont Pl, Los Angeles, CA 90005",,,1,,,
4757,5087019035,Beverly Grove,Single Famly,"1014 Stearns Dr, Los Angeles, CA 90035",,,1,,,
5695,5087013002,Beverly Grove,Single Famly,"1022 Alvira St, Los Angeles, CA 90035",34.0581448,-118.3704229,1,0,1,Prediction Incorrect - Sold
9217,5090017003,Hancock Park,Single Famly,"75 Fremont Pl, Los Angeles, CA 90005",,,1,,,
4369,5089018040,Beverly Grove,Single Famly,"933 Hauser Blvd, Los Angeles, CA 90036",,,1,,,
2289,5089025033,Beverly Grove,Single Famly,"920 S Burnside Ave, Los Angeles, CA 90036",,,1,,,
2311,5089025003,Beverly Grove,Single Famly,"915 S Cochran Ave, Los Angeles, CA 90036",,,1,,,
2415,5089026017,Beverly Grove,Single Famly,"914 S Ridgeley Dr, Los Angeles, CA 90036",,,1,,,
3584,5086019016,Beverly Grove,Single Famly,"930 S Ogden Dr, Los Angeles, CA 90036",,,1,,,
8724,5090017008,Hancock Park,Single Famly,"112 Fremont Pl, Los Angeles, CA 90005",,,1,,,
9511,5090027007,Hancock Park,Single Famly,"830 S Windsor Blvd, Los Angeles, CA 90005",,,1,,,
7207,5090028009,Hancock Park,Single Famly,"832 S Plymouth Blvd, Los Angeles, CA 90005",34.0588059,-118.3240494,1,0,1,Prediction Incorrect - Sold
7204,5090001012,Hancock Park,Single Famly,"871 S Tremaine Ave, Los Angeles, CA 90005",,,1,,,
8972,5092001021,Hancock Park,Single Famly,"757 S Bronson Ave, Los Angeles, CA 90005",,,1,,,
7787,5084003042,Hancock Park,Single Famly,"855 S Orange Dr, Los Angeles, CA 90036",,,1,,,
9497,5090013018,Hancock Park,Single Famly,"867 S Muirfield Rd, Los Angeles, CA 90005",,,1,,,
12174,5090001011,Hancock Park,Single Famly,"865 S Tremaine Ave, Los Angeles, CA 90005",,,1,,,
3430,5089021022,Beverly Grove,Single Famly,"846 S Cloverdale Ave, Los Angeles, CA 90036",,,1,,,
2868,5089017030,Beverly Grove,Single Famly,"851 Masselin Ave, Los Angeles, CA 90036",34.0592181,-118.3543029,1,0,1,Prediction Incorrect - Sold
2305,5089021019,Beverly Grove,Single Famly,"851 S Cloverdale Ave, Los Angeles, CA 90036",,,1,,,
7848,5090004007,Hancock Park,Single Famly,"857 Keniston Ave, Los Angeles, CA 90005",,,1,,,
8978,5092006011,Hancock Park,Single Famly,"736 S Bronson Ave, Los Angeles, CA 90005",34.0592847,-118.3188774,1,1,1,Prediction Correct - Sold
2865,5089018009,Beverly Grove,Single Famly,"840 Masselin Ave, Los Angeles, CA 90036",,,1,,,
2838,5089018032,Beverly Grove,Single Famly,"853 Hauser Blvd, Los Angeles, CA 90036",,,1,,,
2400,5089018008,Beverly Grove,Single Famly,"836 Masselin Ave, Los Angeles, CA 90036",34.0594411,-118.3535718,1,0,1,Prediction Incorrect - Sold
9802,5090013014,Hancock Park,Single Famly,"852 S Mullen Ave, Los Angeles, CA 90005",,,1,,,
7776,5084001026,Hancock Park,Single Famly,"835 S Highland Ave, Los Angeles, CA 90036",,,1,,,
7361,5092006007,Hancock Park,Single Famly,"721 S Norton Ave, Los Angeles, CA 90005",,,1,,,
9780,5090027001,Hancock Park,Single Famly,"800 S Windsor Blvd, Los Angeles, CA 90005",,,1,,,
11879,5084001005,Hancock Park,Single Famly,"835 S Longwood Ave, Los Angeles, CA 90005",,,1,,,
7905,5084001036,Hancock Park,Single Famly,"826 S Citrus Ave, Los Angeles, CA 90036",34.0595959,-118.3400101,1,0,1,Prediction Incorrect - Sold
2287,5089019017,Beverly Grove,Single Famly,"837 S Burnside Ave, Los Angeles, CA 90036",,,1,,,
7366,5092001032,Hancock Park,Single Famly,"736 Crenshaw Blvd, Los Angeles, CA 90005",,,1,,,
3627,5086023008,Beverly Grove,Single Famly,"841 S Spaulding Ave, Los Angeles, CA 90036",,,1,,,
9620,5084003037,Hancock Park,Single Famly,"835 S Orange Dr, Los Angeles, CA 90036",,,1,,,
9176,5084001035,Hancock Park,Single Famly,"824 S Citrus Ave, Los Angeles, CA 90036",,,1,,,
1151,4333021058,Beverly Grove,Condo,"8651 W Olympic Blvd, Los Angeles, CA 90035",,,1,,,
1155,4333021063,Beverly Grove,Condo,"8651 W Olympic Blvd, Los Angeles, CA 90035",,,1,,,
11114,5084002037,Hancock Park,Single Famly,"823 S Citrus Ave, Los Angeles, CA 90036",,,1,,,
9783,5090013011,Hancock Park,Single Famly,"838 S Mullen Ave, Los Angeles, CA 90005",,,1,,,
7484,5090014026,Hancock Park,Single Famly,"842 S Muirfield Rd, Los Angeles, CA 90005",,,1,,,
11328,5090004012,Hancock Park,Single Famly,"834 S Tremaine Ave, Los Angeles, CA 90005",34.0597711,-118.3359465,1,0,1,Prediction Incorrect - Sold
3536,5089019006,Beverly Grove,Single Famly,"828 Hauser Blvd, Los Angeles, CA 90036",,,1,,,
10071,5090013010,Hancock Park,Single Famly,"836 S Mullen Ave, Los Angeles, CA 90005",,,1,,,
8722,5084001003,Hancock Park,Single Famly,"823 S Longwood Ave, Los Angeles, CA 90005",,,1,,,
2096,5089019015,Beverly Grove,Single Famly,"827 S Burnside Ave, Los Angeles, CA 90036",,,1,,,
2861,5089017025,Beverly Grove,Single Famly,"823 Masselin Ave, Los Angeles, CA 90036",,,1,,,
6245,5088020011,Beverly Grove,Single Famly,"6283 Commodore Sloat Dr, Los Angeles, CA 90048",,,1,,,
4417,5089012006,Beverly Grove,Single Famly,"826 S Spaulding Ave, Los Angeles, CA 90036",34.0599657,-118.3585024,1,1,1,Prediction Correct - Sold
2377,5089018027,Beverly Grove,Single Famly,"827 Hauser Blvd, Los Angeles, CA 90036",,,1,,,
1976,4333011030,Beverly Grove,Condo,"927 S Wooster St, Los Angeles, CA 90035",,,1,,,
6784,5090005004,Hancock Park,Single Famly,"829 S Hudson Ave, Los Angeles, CA 90005",,,1,,,
6792,5092007011,Hancock Park,Single Famly,"703 S Norton Ave, Los Angeles, CA 90005",,,1,,,
10156,5084002009,Hancock Park,Single Famly,"812 S Orange Dr, Los Angeles, CA 90036",,,1,,,
10104,5090032029,Hancock Park,Single Famly,"720 Lorraine Blvd, Los Angeles, CA 90005",,,1,,,
2438,5089016026,Beverly Grove,Single Famly,"823 S Sierra Bonita Ave, Los Angeles, CA 90036",,,1,,,
2993,5088004046,Beverly Grove,Single Famly,"6160 Barrows Dr, Los Angeles, CA 90048",34.060131,-118.3650317,1,1,1,Prediction Correct - Sold
7847,5090010006,Hancock Park,Single Famly,"829 S Mullen Ave, Los Angeles, CA 90005",,,1,,,
10739,5084001001,Hancock Park,Single Famly,"801 S Longwood Ave, Los Angeles, CA 90005",,,1,,,
11203,5084003033,Hancock Park,Single Famly,"809 S Orange Dr, Los Angeles, CA 90036",,,1,,,
9073,5084001009,Hancock Park,Single Famly,"800 S Highland Ave, Los Angeles, CA 90036",,,1,,,
10537,5090013027,Hancock Park,Single Famly,"825 S Muirfield Rd, Los Angeles, CA 90005",34.0602464,-118.3300554,1,0,1,Prediction Incorrect - Sold
10242,5084001020,Hancock Park,Single Famly,"803 S Highland Ave, Los Angeles, CA 90036",,,1,,,
2369,5086023015,Beverly Grove,Single Famly,"812 S Genesee Ave, Los Angeles, CA 90036",,,1,,,
8319,5090032027,Hancock Park,Single Famly,"708 Lorraine Blvd, Los Angeles, CA 90005",,,1,,,
4625,5088008027,Beverly Grove,Single Famly,"6519 Moore Dr, Los Angeles, CA 90048",,,1,,,
7356,5090030002,Hancock Park,Single Famly,"757 S Windsor Blvd, Los Angeles, CA 90005",,,1,,,
10847,5090032010,Hancock Park,Single Famly,"717 Crenshaw Blvd, Los Angeles, CA 90005",,,1,,,
10135,5090018006,Hancock Park,Single Famly,"100 Fremont Pl, Los Angeles, CA 90005",,,1,,,
4074,5088008026,Beverly Grove,Single Famly,"6523 Moore Dr, Los Angeles, CA 90048",,,1,,,
8720,5090001014,Hancock Park,Single Famly,"4922 W 8th St, Los Angeles, CA 90005",34.060412,-118.3369054,1,1,1,Prediction Correct - Sold
5468,5089019011,Beverly Grove,Single Famly,"801 S Burnside Ave, Los Angeles, CA 90036",,,1,,,
8971,5090013005,Hancock Park,Single Famly,"814 S Mullen Ave, Los Angeles, CA 90005",,,1,,,
9804,5090031017,Hancock Park,Single Famly,"709 Lorraine Blvd, Los Angeles, CA 90005",,,1,,,
7359,5090030003,Hancock Park,Single Famly,"751 S Windsor Blvd, Los Angeles, CA 90005",,,1,,,
3754,5088017028,Beverly Grove,Single Famly,"6167 Barrows Dr, Los Angeles, CA 90048",,,1,,,
5891,5088008007,Beverly Grove,Single Famly,"6440 Hayes Dr, Los Angeles, CA 90048",,,1,,,
3023,5088003056,Beverly Grove,Single Famly,"6118 Del Valle Dr, Los Angeles, CA 90048",,,1,,,
2877,5086011011,Beverly Grove,Single Famly,"805 S Ogden Dr, Los Angeles, CA 90036",,,1,,,
6052,5088017021,Beverly Grove,Single Famly,"6207 San Vicente Blvd, Los Angeles, CA 90048",,,1,,,
9237,5090013031,Hancock Park,Single Famly,"801 S Muirfield Rd, Los Angeles, CA 90005",34.0607835,-118.3298271,1,1,1,Prediction Correct - Sold
7047,5090031006,Hancock Park,Single Famly,"728 S Windsor Blvd, Los Angeles, CA 90005",,,1,,,
7599,5092001006,Hancock Park,Single Famly,"681 S Bronson Ave, Los Angeles, CA 90005",34.0608438,-118.3187313,1,0,1,Prediction Incorrect - Sold
8431,5507027009,Hancock Park,Single Famly,"743 S Citrus Ave, Los Angeles, CA 90036",,,1,,,
2019,5089003040,Beverly Grove,Condo,"749 S Cloverdale Ave, Los Angeles, CA 90036",,,1,,,
835,5089011037,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",34.0610484,-118.3572918,1,0,1,Prediction Incorrect - Sold
863,5089011065,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",34.0610484,-118.3572918,1,0,1,Prediction Incorrect - Sold
900,5089011102,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",34.0610484,-118.3572918,1,0,1,Prediction Incorrect - Sold
920,5089011122,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",34.0610484,-118.3572918,1,0,1,Prediction Incorrect - Sold
942,5089011144,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",34.0610484,-118.3572918,1,0,1,Prediction Incorrect - Sold
854,5089011056,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",,,1,,,
917,5089011119,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",,,1,,,
935,5089011137,Beverly Grove,Condo,"750 S Spaulding Ave, Los Angeles, CA 90036",,,1,,,
708,5086021056,Beverly Grove,Condo,"5955 W 8Th St, Los Angeles, CA 90036",,,1,,,
709,5086021057,Beverly Grove,Condo,"5955 W 8Th St, Los Angeles, CA 90036",,,1,,,
1165,4333015045,Beverly Grove,Condo,"869 S Wooster St, Los Angeles, CA 90035",34.0610864,-118.3826713,1,1,1,Prediction Correct - Sold
1163,4333015043,Beverly Grove,Condo,"869 S Wooster St, Los Angeles, CA 90035",34.0610864,-118.3826713,1,0,1,Prediction Incorrect - Sold
8308,5092001004,Hancock Park,Single Famly,"673 S Bronson Ave, Los Angeles, CA 90005",,,1,,,
