Order,Parcel,Neighborhood,House Type,Address,Lat,Lng,Did it sell?,Prediction,Actual,Prediction Result
344,4335012068,Beverly Grove,Condo,"141 S Clark Dr #106, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
347,4335012071,Beverly Grove,Condo,"141 S Clark Dr #111, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
356,4335012080,Beverly Grove,Condo,"141 S Clark Dr #206, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
366,4335012090,Beverly Grove,Condo,"141 S Clark Dr #217, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
376,4335012100,Beverly Grove,Condo,"141 S Clark Dr #227, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
386,4335012110,Beverly Grove,Condo,"141 S Clark Dr #308, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
418,4335012142,Beverly Grove,Condo,"141 S Clark Dr #411, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
433,4335012157,Beverly Grove,Condo,"141 S Clark Dr #427, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
468,4334016063,Beverly Grove,Condo,"8568 Burton Way #201, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
555,4335011025,Beverly Grove,Condo,"155 S Swall Dr #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
564,4334009048,Beverly Grove,Condo,"8611 Burton Way #11, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
578,4334009045,Beverly Grove,Condo,"8611 Burton Way #8, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
585,4334009051,Beverly Grove,Condo,"8611 Burton Way #14, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
617,4334009072,Beverly Grove,Condo,"321 S San Vicente Blvd #306, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
623,4334009078,Beverly Grove,Condo,"321 S San Vicente Blvd #404, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
639,4334009094,Beverly Grove,Condo,"321 S San Vicente Blvd #604, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
667,4334009122,Beverly Grove,Condo,"321 S San Vicente Blvd #908, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
682,4334009153,Beverly Grove,Condo,"317 S Holt Ave #14, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
713,5089010037,Beverly Grove,Condo,"724 S Stanley Ave #12, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
715,5089010028,Beverly Grove,Condo,"724 S Stanley Ave #3, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
716,5089010029,Beverly Grove,Condo,"724 S Stanley Ave #4, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
742,4333020042,Beverly Grove,Condo,"8642 Gregory Way #203, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
747,4333020047,Beverly Grove,Condo,"8642 Gregory Way #302, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
758,4333014049,Beverly Grove,Condo,"8712 Gregory Way #301, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
765,4333014056,Beverly Grove,Condo,"8712 Gregory Way #402, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
767,4333014058,Beverly Grove,Condo,"8712 Gregory Way #404, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
777,4335005031,Beverly Grove,Condo,"120 N Doheny Dr #105, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
807,5511025048,Beverly Grove,Condo,"104 S Hayworth Ave #307, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
845,5089011047,Beverly Grove,Condo,"750 S Spaulding Ave #111, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
872,5089011074,Beverly Grove,Condo,"750 S Spaulding Ave #138, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
960,4335004033,Beverly Grove,Condo,"100 N Wetherly Dr #2C, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
961,4335004034,Beverly Grove,Condo,"100 N Wetherly Dr #2D, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
964,4335004037,Beverly Grove,Condo,"100 N Wetherly Dr #3C, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
968,4335004041,Beverly Grove,Condo,"100 N Wetherly Dr #PHC, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
975,4332019063,Beverly Grove,Condo,"1210 S Shenandoah St #201, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
979,4332019067,Beverly Grove,Condo,"1210 S Shenandoah St #205, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1055,4334015071,Beverly Grove,Condo,"412 Arnaz Dr #7, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1097,4335013065,Beverly Grove,Condo,"325 S Swall Dr #304, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1098,4335013066,Beverly Grove,Condo,"325 S Swall Dr #401, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1102,4335013070,Beverly Grove,Condo,"325 S Swall Dr #501, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1105,4335013073,Beverly Grove,Condo,"325 S Swall Dr #504, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1112,4332021047,Beverly Grove,Condo,"8636 W Olympic Blvd #7, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1123,5085007048,Beverly Grove,Condo,"5670 W Olympic Blvd #B01, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1131,5085007056,Beverly Grove,Condo,"5670 W Olympic Blvd #B09, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1145,4333021052,Beverly Grove,Condo,"8651 W Olympic Blvd #104, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1146,4333021053,Beverly Grove,Condo,"8651 W Olympic Blvd #105, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1164,4333015044,Beverly Grove,Condo,"869 S Wooster St #304, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1193,5085009050,Beverly Grove,Condo,"1002 S Burnside Ave #8, Los Angeles, CA 90019",,,0,1,0,Prediction Incorrect - Not Sold
1205,4333021077,Beverly Grove,Condo,"910 S Bedford St #206, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1206,4333021074,Beverly Grove,Condo,"910 S Bedford St #207, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1209,4333021078,Beverly Grove,Condo,"910 S Bedford St #303, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1213,4333021081,Beverly Grove,Condo,"910 S Bedford St #307, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1235,4332028044,Beverly Grove,Condo,"1240 S Corning St #103, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1254,4332028063,Beverly Grove,Condo,"1240 S Corning St #305, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1262,4333014064,Beverly Grove,Condo,"825 S Shenandoah St #104, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1269,4333014071,Beverly Grove,Condo,"825 S Shenandoah St #303, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1270,4333014072,Beverly Grove,Condo,"825 S Shenandoah St #304, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1273,4332017034,Beverly Grove,Condo,"1059 S Shenandoah St #102, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1274,4332017035,Beverly Grove,Condo,"1059 S Shenandoah St #103, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1284,4332017045,Beverly Grove,Condo,"1059 S Shenandoah St #306, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1285,4332017046,Beverly Grove,Condo,"1059 S Shenandoah St #307, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1296,4335001048,Beverly Grove,Condo,"120 N Swall Dr #201, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1298,4335001051,Beverly Grove,Condo,"120 N Swall Dr #204, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1300,4335001053,Beverly Grove,Condo,"120 N Swall Dr #206, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1303,4335001058,Beverly Grove,Condo,"120 N Swall Dr #304, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1312,4335001060,Beverly Grove,Condo,"120 S Swall Dr #306, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1317,4332021064,Beverly Grove,Condo,"8646 W Olympic Blvd #205, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1396,5511008025,Beverly Grove,Condo,"102 N Sweetzer Ave #103, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1441,4333015052,Beverly Grove,Condo,"855 S Wooster St #202, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1447,4333015058,Beverly Grove,Condo,"855 S Wooster St #302, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1459,4334015081,Beverly Grove,Condo,"435 Arnaz Dr #103, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1460,4334015082,Beverly Grove,Condo,"435 Arnaz Dr #104, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1461,4334015083,Beverly Grove,Condo,"435 Arnaz Dr #105, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1475,5511038042,Beverly Grove,Condo,"7916 Blackburn Ave #10, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1477,5511038035,Beverly Grove,Condo,"7916 Blackburn Ave #3, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1495,4335001076,Beverly Grove,Condo,"128 N Swall Dr #108, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1502,4335001084,Beverly Grove,Condo,"128 N Swall Dr #208, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1507,4335001089,Beverly Grove,Condo,"128 N Swall Dr #305, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1511,4335001063,Beverly Grove,Condo,"128 N Swall Dr #PN1, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1531,4334001066,Beverly Grove,Condo,"146 S Clark Dr #102, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1553,4335012036,Beverly Grove,Condo,"117 S Clark Dr #102, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1565,4335012048,Beverly Grove,Condo,"117 S Clark Dr #307, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1570,4334015103,Beverly Grove,Condo,"415 S Willaman Dr #2, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1574,4334015101,Beverly Grove,Condo,"415 S Willaman Dr #204, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1575,5085021045,Beverly Grove,Condo,"5764 San Vicente Blvd #101, Los Angeles, CA 90019",,,0,1,0,Prediction Incorrect - Not Sold
1589,4334009164,Beverly Grove,Condo,"320 S Willaman Dr #201, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1593,4334009168,Beverly Grove,Condo,"320 S Willaman Dr #301, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1599,4334009174,Beverly Grove,Condo,"320 S Willaman Dr #403, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1603,4334009178,Beverly Grove,Condo,"320 S Willaman Dr #PH3, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1617,4334011078,Beverly Grove,Condo,"305 Arnaz Dr #301, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1625,4334001076,Beverly Grove,Condo,"118 S Clark Dr #101, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1631,4334001082,Beverly Grove,Condo,"118 S Clark Dr #202, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1643,4334001094,Beverly Grove,Condo,"118 S Clark Dr #PH2, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1645,4334001096,Beverly Grove,Condo,"118 S Clark Dr #PH4, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1654,4335012056,Beverly Grove,Condo,"123 S Clark Dr #203, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1659,4335012061,Beverly Grove,Condo,"123 S Clark Dr #PH2, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1660,4335012062,Beverly Grove,Condo,"123 S Clark Dr #PH3, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1661,4335012063,Beverly Grove,Condo,"123 S Clark Dr #PH4, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1664,4334011089,Beverly Grove,Condo,"325 Arnaz Dr #103, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1677,4334001100,Beverly Grove,Condo,"122 N Clark Dr #101, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1681,4334001104,Beverly Grove,Condo,"122 N Clark Dr #105, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1687,4334001110,Beverly Grove,Condo,"122 N Clark Dr #205, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1692,4334001115,Beverly Grove,Condo,"122 N Clark Dr #304, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1693,4334001116,Beverly Grove,Condo,"122 N Clark Dr #305, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1698,4334001121,Beverly Grove,Condo,"122 N Clark Dr #404, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1700,4334001123,Beverly Grove,Condo,"122 N Clark Dr #406, West Hollywood, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1707,4335002030,Beverly Grove,Condo,"107 N Swall Dr #203, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1717,4335002046,Beverly Grove,Condo,"107 N Swall Dr #401, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1724,4335011037,Beverly Grove,Condo,"109 S Swall Dr #2, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1726,4333020068,Beverly Grove,Condo,"820 S Bedford St #101, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1728,4333020070,Beverly Grove,Condo,"820 S Bedford St #103, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1737,4333020079,Beverly Grove,Condo,"820 S Bedford St #406, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1744,5511033040,Beverly Grove,Condo,"8420 Blackburn Ave #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1745,5511033041,Beverly Grove,Condo,"8420 Blackburn Ave #102, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1747,5511033043,Beverly Grove,Condo,"8420 Blackburn Ave #202, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1758,5527035039,Beverly Grove,Condo,"357 N Hayworth Ave #204, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1760,5527035041,Beverly Grove,Condo,"357 N Hayworth Ave #302, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1763,5527035044,Beverly Grove,Condo,"357 N Hayworth Ave #401, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1764,5527035045,Beverly Grove,Condo,"357 N Hayworth Ave #402, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1765,5527035046,Beverly Grove,Condo,"357 N Hayworth Ave #403, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1767,4335009035,Beverly Grove,Condo,"108 S Wetherly Dr #1, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1771,4334011104,Beverly Grove,Condo,"315 S Willaman Dr #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1772,4334011105,Beverly Grove,Condo,"315 S Willaman Dr #102, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1775,4334011108,Beverly Grove,Condo,"315 S Willaman Dr #401, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1785,5510027051,Beverly Grove,Condo,"637 S Fairfax Ave #304, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1790,5510027056,Beverly Grove,Condo,"637 S Fairfax Ave #501, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1792,5510027058,Beverly Grove,Condo,"637 S Fairfax Ave #503, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1793,5510027059,Beverly Grove,Condo,"637 S Fairfax Ave #504, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1800,5089025041,Beverly Grove,Condo,"5525 W Olympic Blvd #201, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1806,5089025047,Beverly Grove,Condo,"5525 W Olympic Blvd #402, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1811,5089026044,Beverly Grove,Condo,"5601 W Olympic Blvd #202, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1827,4334015121,Beverly Grove,Condo,"423 Arnaz Dr #304, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1831,4334015126,Beverly Grove,Condo,"418 S Hamel Rd #101, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1832,4334015127,Beverly Grove,Condo,"418 S Hamel Rd #102, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1834,4334015129,Beverly Grove,Condo,"420 S Hamel Rd #202, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1838,4334015133,Beverly Grove,Condo,"420 S Hamel Rd #PH2, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1840,4334016091,Beverly Grove,Condo,"432 S Willaman Dr #102, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1846,4334016098,Beverly Grove,Condo,"432 S Willaman Dr #301, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1850,4334016102,Beverly Grove,Condo,"432 S Willaman Dr #401, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1851,4334016103,Beverly Grove,Condo,"432 S Willaman Dr #402, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1854,4333020081,Beverly Grove,Condo,"858 S Bedford St #101, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1860,4333020087,Beverly Grove,Condo,"858 S Bedford St #204, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1864,4333020091,Beverly Grove,Condo,"858 S Bedford St #304, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1865,4333020092,Beverly Grove,Condo,"858 S Bedford St #401, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1869,4332018064,Beverly Grove,Condo,"1135 S Shenandoah St #102, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1876,4332018071,Beverly Grove,Condo,"1135 S Shenandoah St #302, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1878,4332018073,Beverly Grove,Condo,"1135 S Shenandoah St #304, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1883,4333012058,Beverly Grove,Condo,"918 S Wooster St #1, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1887,5508012040,Beverly Grove,Condo,"600 S Ridgeley Dr #101, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1892,5508012045,Beverly Grove,Condo,"600 S Ridgeley Dr #106, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1893,5508012046,Beverly Grove,Condo,"600 S Ridgeley Dr #107, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1909,5508012061,Beverly Grove,Condo,"600 S Ridgeley Dr #209, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1911,5508012063,Beverly Grove,Condo,"600 S Ridgeley Dr #211, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1921,5508012073,Beverly Grove,Condo,"600 S Ridgeley Dr #308, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1926,5508012079,Beverly Grove,Condo,"600 S Ridgeley Dr #PH1, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1928,5508012089,Beverly Grove,Condo,"600 S Ridgeley Dr #PH11, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1935,5508012084,Beverly Grove,Condo,"600 S Ridgeley Dr #PH6, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1936,5508012085,Beverly Grove,Condo,"600 S Ridgeley Dr #PH7, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
1944,5511011019,Beverly Grove,Condo,"123 N Kings Rd #2, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1949,5511011024,Beverly Grove,Condo,"123 N Kings Rd #7, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1958,4335011047,Beverly Grove,Condo,"135 S Swall Dr #301, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1965,5511017023,Beverly Grove,Condo,"125 S Sweetzer Ave #101A, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1966,5511017024,Beverly Grove,Condo,"125 S Sweetzer Ave #102A, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1970,5511017027,Beverly Grove,Condo,"125 S Sweetzer Ave #202A, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1977,4333011031,Beverly Grove,Condo,"927 S Wooster St #3, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1978,4333011032,Beverly Grove,Condo,"927 S Wooster St #4, Los Angeles, CA 90035",,,0,1,0,Prediction Incorrect - Not Sold
1985,4334016110,Beverly Grove,Condo,"8612 Burton Way #303, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1992,5511014036,Beverly Grove,Condo,"108 S Croft Ave #105, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
1998,5511010030,Beverly Grove,Condo,"118 N Kings Rd #205, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
2000,5511010032,Beverly Grove,Condo,"118 N Kings Rd #301, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
2014,5511010046,Beverly Grove,Condo,"118 N Kings Rd #PH5, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
2051,5085021005,Beverly Grove,Single Famly,"1116 S Curson Ave, Los Angeles, CA 90019",,,0,1,0,Prediction Incorrect - Not Sold
2078,5085008004,Beverly Grove,Single Famly,"1052 S Ridgeley Dr, Los Angeles, CA 90019",,,0,1,0,Prediction Incorrect - Not Sold
2107,5089019033,Beverly Grove,Single Famly,"823 S Ridgeley Dr, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
2110,5089026023,Beverly Grove,Single Famly,"925 S Ridgeley Dr, Los Angeles, CA 90036",,,0,1,0,Prediction Incorrect - Not Sold
2120,5088006013,Beverly Grove,Single Famly,"6614 Moore Dr, Los Angeles, CA 90048",,,0,1,0,Prediction Incorrect - Not Sold
